Nb,Input,Output
878400,1320083,465354
878300,1321126,465722
878200,1322241,466129
878100,1323310,466511
878000,1324394,466894
877900,1325456,467264
877800,1326571,467670
877700,1327644,468058
877600,1328652,468427
877500,1329729,468844
877400,1330838,469226
877300,1331929,469629
877200,1333059,470023
877100,1334114,470396
877000,1335143,470774
876900,1336227,471190
876800,1337291,471581
876700,1338381,472010
876600,1339459,472400
876500,1340500,472776
876400,1341551,473149
876300,1342636,473537
876200,1343751,473940
876100,1344872,474328
876000,1345949,474710
875900,1347073,475106
875800,1348134,475482
875700,1349192,475882
875600,1350265,476274
875500,1351283,476643
875400,1352327,477037
875300,1353393,477428
875200,1354456,477814
875100,1355497,478230
875000,1356600,478651
874900,1357697,479046
874800,1358755,479411
874700,1359803,479806
874600,1360879,480193
874500,1361918,480579
874400,1363005,480977
874300,1364079,481354
874200,1365158,481745
874100,1366242,482117
874000,1367337,482530
873900,1368421,482926
873800,1369465,483291
873700,1370478,483690
873600,1371565,484105
873500,1372650,484496
873400,1373761,484911
873300,1374817,485272
873200,1375872,485667
873100,1376947,486067
873000,1378012,486454
872900,1379114,486857
872800,1380233,487256
872700,1381358,487657
872600,1382398,488030
872500,1383367,488402
872400,1384451,488830
872300,1385545,489222
872200,1386658,489617
872100,1387769,490016
872000,1388866,490397
871900,1389980,490775
871800,1391023,491155
871700,1392113,491557
871600,1393137,491921
871500,1394230,492334
871400,1395249,492689
871300,1396260,493087
871200,1397356,493506
871100,1398407,493884
871000,1399499,494278
870900,1400590,494682
870800,1401619,495063
870700,1402704,495483
870600,1403771,495878
870500,1404845,496282
870400,1405931,496676
870300,1406994,497057
870200,1408092,497447
870100,1409191,497838
870000,1410302,498244
869900,1411359,498631
869800,1412460,499024
869700,1413520,499414
869600,1414509,499786
869500,1415594,500203
869400,1416661,500591
869300,1417754,500993
869200,1418802,501376
869100,1419880,501793
869000,1420942,502178
868900,1422039,502601
868800,1423183,503002
868700,1424272,503386
868600,1425268,503769
868500,1426324,504185
868400,1427394,504576
868300,1428481,504967
868200,1429547,505341
868100,1430630,505737
868000,1431699,506133
867900,1432727,506481
867800,1433862,506897
867700,1434935,507267
867600,1435975,507646
867500,1437070,508050
867400,1438168,508435
867300,1439235,508819
867200,1440318,509224
867100,1441366,509599
867000,1442441,509998
866900,1443514,510395
866800,1444607,510808
866700,1445807,511229
866600,1446830,511580
866500,1447876,511994
866400,1448938,512401
866300,1449985,512806
866200,1451048,513183
866100,1452117,513559
866000,1453279,513968
865900,1454397,514340
865800,1455508,514749
865700,1456584,515153
865600,1457616,515518
865500,1458670,515923
865400,1459799,516332
865300,1460865,516705
865200,1461926,517087
865100,1463042,517499
865000,1464077,517850
864900,1465140,518251
864800,1466230,518659
864700,1467321,519062
864600,1468350,519433
864500,1469444,519829
864400,1470560,520241
864300,1471647,520625
864200,1472727,520998
864100,1473793,521418
864000,1474885,521811
863900,1475985,522222
863800,1477048,522592
863700,1478118,523005
863600,1479141,523398
863500,1480209,523807
863400,1481237,524191
863300,1482305,524621
863200,1483428,525016
863100,1484532,525393
863000,1485584,525785
862900,1486653,526173
862800,1487705,526552
862700,1488801,526980
862600,1489854,527363
862500,1490936,527769
862400,1492035,528167
862300,1493129,528558
862200,1494213,528967
862100,1495283,529358
862000,1496334,529746
861900,1497503,530175
861800,1498561,530549
861700,1499614,530932
861600,1500731,531347
861500,1501788,531719
861400,1502850,532108
861300,1503937,532528
861200,1505067,532928
861100,1506189,533324
861000,1507243,533710
860900,1508356,534120
860800,1509379,534503
860700,1510466,534921
860600,1511592,535329
860500,1512604,535697
860400,1513694,536082
860300,1514804,536495
860200,1515867,536873
860100,1517001,537275
860000,1518100,537650
859900,1519197,538051
859800,1520283,538422
859700,1521356,538819
859600,1522418,539196
859500,1523461,539591
859400,1524526,539993
859300,1525606,540384
859200,1526704,540802
859100,1527767,541195
859000,1528845,541613
858900,1529866,541978
858800,1530935,542394
858700,1532021,542809
858600,1533131,543217
858500,1534220,543610
858400,1535325,544016
858300,1536388,544397
858200,1537498,544800
858100,1538503,545158
858000,1539575,545554
857900,1540647,545961
857800,1541756,546369
857700,1542770,546725
857600,1543798,547132
857500,1544806,547528
857400,1545905,547924
857300,1547018,548326
857200,1548097,548700
857100,1549166,549106
857000,1550253,549518
856900,1551323,549886
856800,1552388,550276
856700,1553447,550667
856600,1554539,551048
856500,1555638,551452
856400,1556754,551828
856300,1557854,552238
856200,1558933,552632
856100,1560008,553039
856000,1561124,553449
855900,1562153,553821
855800,1563231,554222
855700,1564345,554636
855600,1565401,555018
855500,1566493,555405
855400,1567557,555778
855300,1568614,556175
855200,1569655,556572
855100,1570736,556998
855000,1571823,557377
854900,1572953,557790
854800,1574043,558180
854700,1575060,558576
854600,1576141,558972
854500,1577207,559366
854400,1578278,559765
854300,1579379,560169
854200,1580433,560556
854100,1581498,560956
854000,1582554,561345
853900,1583657,561746
853800,1584656,562124
853700,1585775,562556
853600,1586829,562932
853500,1587942,563332
853400,1588994,563714
853300,1590058,564122
853200,1591154,564523
853100,1592258,564906
853000,1593308,565296
852900,1594328,565669
852800,1595453,566074
852700,1596502,566449
852600,1597591,566859
852500,1598709,567255
852400,1599776,567653
852300,1600807,568050
852200,1601874,568436
852100,1602942,568841
852000,1604062,569257
851900,1605107,569643
851800,1606194,570040
851700,1607248,570433
851600,1608329,570842
851500,1609386,571229
851400,1610471,571638
851300,1611474,572022
851200,1612581,572450
