Nb,Input,Output
88000,95646,41636
88100,95959,41734
88200,96240,41821
88300,96525,41911
88400,96826,42003
88500,97143,42104
88600,97442,42195
88700,97723,42291
88800,98019,42387
88900,98285,42471
89000,98551,42547
89100,98850,42651
89200,99113,42742
89300,99404,42833
89400,99723,42950
89500,100037,43060
89600,100326,43143
89700,100652,43252
89800,100961,43344
89900,101246,43435
90000,101574,43530
90100,101876,43630
90200,102186,43723
90300,102470,43808
90400,102785,43908
90500,103108,44010
90600,103413,44098
90700,103704,44187
90800,103962,44271
90900,104234,44356
91000,104544,44459
91100,104841,44565
91200,105142,44657
91300,105431,44757
91400,105743,44857
91500,106031,44949
91600,106332,45046
91700,106628,45146
91800,106915,45237
91900,107259,45350
92000,107557,45443
92100,107845,45527
92200,108145,45625
92300,108453,45723
92400,108765,45828
92500,109024,45900
92600,109355,46006
92700,109694,46114
92800,109997,46205
92900,110298,46291
93000,110616,46388
93100,110960,46489
93200,111277,46593
93300,111602,46690
93400,111914,46784
93500,112217,46883
93600,112505,46969
93700,112820,47073
93800,113132,47167
93900,113425,47265
94000,113756,47369
94100,114025,47459
94200,114330,47538
94300,114626,47644
94400,114944,47756
94500,115285,47861
94600,115600,47957
94700,115865,48037
94800,116160,48135
94900,116457,48231
95000,116789,48342
95100,117070,48425
95200,117392,48529
95300,117743,48641
95400,118045,48733
95500,118391,48842
95600,118717,48938
95700,119028,49024
95800,119355,49116
95900,119659,49207
96000,119969,49307
96100,120275,49392
96200,120585,49489
96300,120915,49598
96400,121250,49697
96500,121551,49779
96600,121880,49883
96700,122202,49980
96800,122543,50082
96900,122884,50185
97000,123188,50268
97100,123536,50375
97200,123855,50473
97300,124162,50568
97400,124459,50665
97500,124763,50759
97600,125077,50850
97700,125396,50944
97800,125723,51048
97900,126045,51147
98000,126356,51238
98100,126710,51344
98200,127013,51435
98300,127335,51521
98400,127682,51626
98500,127992,51723
98600,128289,51804
98700,128597,51894
98800,128911,51998
98900,129203,52090
99000,129508,52184
99100,129825,52287
99200,130181,52397
99300,130511,52496
99400,130821,52580
99500,131127,52668
99600,131475,52776
99700,131813,52886
99800,132142,52982
99900,132468,53078
100000,132817,53170
100100,133170,53266
100200,133492,53360
100300,133824,53443
100400,134131,53538
100500,134425,53629
100600,134750,53731
100700,135086,53827
100800,135421,53927
100900,135741,54018
101000,136061,54111
101100,136367,54199
101200,136705,54304
101300,137030,54410
101400,137393,54514
101500,137741,54618
101600,138058,54705
101700,138389,54795
101800,138696,54879
101900,139011,54980
102000,139342,55079
102100,139695,55190
102200,140018,55296
102300,140378,55404
102400,140720,55497
102500,141048,55585
102600,141354,55672
102700,141663,55764
102800,142017,55876
102900,142367,55982
103000,142723,56077
103100,143089,56180
103200,143417,56273
103300,143763,56367
103400,144118,56480
103500,144444,56556
103600,144791,56654
103700,145135,56756
103800,145477,56853
103900,145797,56947
104000,146126,57031
104100,146476,57139
104200,146831,57238
104300,147202,57335
104400,147556,57445
104500,147917,57547
104600,148286,57647
104700,148639,57743
104800,148971,57825
104900,149316,57921
105000,149660,58028
105100,150027,58135
105200,150361,58227
105300,150699,58320
105400,151041,58413
105500,151373,58503
105600,151744,58602
105700,152094,58710
105800,152418,58797
105900,152771,58894
106000,153121,58991
106100,153468,59093
106200,153798,59192
106300,154126,59286
106400,154441,59374
106500,154771,59475
106600,155117,59577
106700,155474,59687
106800,155840,59790
106900,156184,59884
107000,156532,59980
107100,156908,60084
107200,157269,60183
107300,157594,60271
107400,157945,60368
107500,158271,60461
107600,158593,60556
107700,158951,60669
107800,159328,60776
107900,159683,60868
108000,160055,60970
108100,160408,61072
108200,160728,61168
108300,161084,61260
108400,161432,61358
108500,161805,61456
108600,162168,61557
108700,162551,61667
108800,162887,61764
108900,163232,61853
109000,163594,61954
109100,163962,62051
109200,164361,62156
109300,164737,62259
109400,165090,62357
109500,165427,62444
109600,165761,62529
109700,166088,62631
109800,166465,62740
109900,166854,62850
110000,167207,62945
110100,167528,63035
110200,167910,63136
110300,168308,63247
110400,168641,63333
110500,168998,63418
110600,169378,63522
110700,169751,63624
110800,170081,63720
110900,170418,63822
111000,170805,63931
111100,171173,64026
111200,171535,64121
111300,171889,64220
111400,172243,64318
111500,172608,64412
111600,172955,64515
111700,173334,64620
111800,173660,64711
111900,174038,64814
112000,174365,64906
112100,174703,64993
112200,175082,65111
112300,175441,65207
112400,175822,65310
112500,176178,65409
112600,176546,65509
112700,176920,65607
112800,177298,65702
112900,177663,65792
113000,178033,65891
113100,178417,65983
113200,178790,66084
113300,179135,66174
113400,179486,66269
113500,179855,66375
113600,180215,66475
113700,180560,66573
113800,180944,66677
113900,181287,66771
114000,181691,66878
114100,182049,66979
114200,182420,67078
114300,182787,67171
114400,183142,67269
114500,183518,67371
114600,183858,67464
114700,184295,67584
114800,184695,67685
114900,185069,67780
115000,185425,67878
115100,185770,67959
115200,186138,68055
115300,186505,68165
115400,186863,68261
115500,187238,68365
115600,187606,68462
115700,187992,68565
115800,188374,68670
115900,188785,68769
116000,189203,68870
116100,189579,68968
116200,189936,69060
116300,190296,69151
116400,190633,69252
116500,190982,69352
116600,191370,69454
116700,191732,69554
116800,192111,69650
116900,192488,69747
117000,192838,69835
117100,193199,69939
117200,193561,70037
117300,193953,70139
117400,194323,70244
117500,194723,70344
117600,195097,70447
117700,195487,70554
117800,195854,70651
117900,196242,70750
118000,196620,70848
118100,197012,70957
118200,197404,71055
118300,197763,71144
118400,198154,71247
118500,198514,71343
118600,198890,71437
118700,199270,71533
118800,199623,71630
118900,199981,71735
119000,200373,71841
119100,200770,71951
119200,201132,72034
119300,201516,72138
119400,201876,72240
119500,202236,72332
119600,202599,72431
119700,203011,72539
119800,203376,72641
119900,203731,72725
120000,204106,72827
120100,204490,72926
120200,204907,73034
120300,205315,73141
120400,205650,73217
120500,206039,73327
120600,206421,73440
120700,206756,73525
120800,207132,73618
120900,207554,73732
121000,207937,73835
121100,208320,73931
121200,208713,74032
121300,209104,74130
121400,209510,74230
121500,209870,74326
121600,210217,74417
121700,210610,74529
121800,211004,74626
121900,211376,74722
122000,211726,74815
122100,212105,74909
122200,212499,75019
122300,212877,75114
122400,213279,75217
122500,213671,75320
122600,214052,75414
122700,214423,75513
122800,214790,75612
122900,215150,75702
123000,215529,75797
123100,215894,75889
123200,216284,75992
123300,216683,76104
123400,217062,76207
123500,217462,76312
123600,217854,76408
123700,218219,76501
123800,218605,76611
123900,218999,76715
124000,219396,76820
124100,219791,76916
124200,220174,77011
124300,220575,77111
124400,220975,77223
124500,221316,77302
124600,221675,77398
124700,222060,77504
124800,222471,77624
124900,222855,77718
125000,223266,77820
125100,223667,77925
125200,224088,78033
125300,224494,78126
125400,224897,78226
125500,225300,78333
125600,225697,78434
125700,226113,78540
125800,226510,78632
125900,226881,78727
126000,227270,78825
126100,227645,78916
126200,228059,79025
126300,228455,79126
126400,228862,79229
126500,229268,79328
126600,229680,79428
